,Number,Name
0,100,Clear Lake 2nd Outlet @ SH 1
1,105,Marys Creek @ Winding Road
2,110,Clear Creek @ I-45
3,115,Cowart Creek @ Baker Road
4,120,Clear Creek @ FM 528
5,125,Chigger Creek @ Windsong Lan
6,130,Clear Creek @ Bay Area Boule
7,135,Clear Creek @ FM 2351
8,140,Turkey Creek @ FM 1959
9,150,Clear Creek @ Country Club D
10,160,Beamer Ditch @ Hughes Road
11,170,Clear Creek @ Nassau Bay
12,175,Clear Creek @ Pearland Parkw
13,180,Clear Creek @ Mykawa Road
14,190,Clear Creek @ SH 288
15,200,Taylor Lake @ Nasa Road 1
16,210,Armand Bayou @ Pasadena Lake
17,220,Armand Bayou @ Genoa-Red Blu
18,230,Big Island Slough @ Fairmont
19,240,Little Vince Bayou @ Burke R
20,245,Armand Bayou @ Space Center
21,250,Horsepen Bayou @ Bay Area Bo
22,270,Willow Spring Bayou @ Fairmo
23,310,Berry Bayou @ Nevada Avenue
24,320,Berry Bayou @ Forest Oaks Bo
25,340,Sims Bayou @ Telephone Road
26,360,Sims Bayou @ Martin Luther K
27,370,Sims Bayou @ SH 288
28,380,Sims Bayou @ Hiram Clark Rd
29,400,Harris Gully @ South McGrego
30,405,Brays Bayou @ Martin Luther
31,410,Brays Bayou @ Lawndale Stree
32,420,Brays Bayou @ South Main Str
33,430,Brays Bayou @ Stella Link Ro
34,435,Willow Water Hole @ Willowbe
35,440,Brays Bayou @ Rice Avenue
36,445,Willow Water Hole @ Landsdow
37,460,Brays Bayou @ Gessner Road
38,465,Brays Bayou @ Beltway 8
39,470,Brays Bayou @ Belle Park Dri
40,475,Brays Bayou @ Bellaire Boule
41,480,Keegans Bayou @ Roark Road
42,485,Brays Bayou @ SH 6
43,490,Keegans Bayou @ Keegan Road
44,495,Keegans Bayou @ Rocky Valley
45,510,Harris County Flood Control
46,520,White Oak Bayou @ Heights Bo
47,530,White Oak Bayou @ Ella Boule
48,535,White Oak Bayou @ Pinemont D
49,540,White Oak Bayou @ Alabonson
50,545,White Oak Bayou @ Fairbanks
51,550,White Oak Bayou @ Lakeview D
52,555,White Oak Bayou @ Jones Road
53,560,Little White Oak Bayou @ Tri
54,570,Little White Oak Bayou @ Tid
55,575,White Oak Bayou @ Tidwell Ro
56,580,Brickhouse Gully @ Costa Ric
57,582,Brickhouse Gully @ Hollister
58,585,Vogel Creek @ Victory Drive
59,590,Cole Creek @ Deihl Road
60,595,Vogel Creek @ Gulf Bank Road
61,605,Taylor Lake @ Port Road
62,610,Taylors Bayou @ Shoreacres B
63,620,Little Cedar Bayou @ 8th Str
64,640,Lateral @ Sens Road
65,650,Patricks Bayou @ East 8th St
66,660,Boggy Bayou @ San Augustine
67,710,San Jacinto River @ Rio Vill
68,720,San Jacinto River @ US 90
69,740,Lake Houston @ FM 1960
70,750,Lake Houston Dam Spillway
71,755,San Jacinto River @ Lake Hou
72,760,San Jacinto River @ US 59
73,765,San Jacinto River @ SH 99
74,780,Caney Creek @ FM 2090
75,785,Peach Creek @ FM 2090
76,790,East Fork San Jacinto @ FM 1
77,795,East Fork San Jacinto @ FM 2
78,820,Hunting Bayou @ I-10
79,830,Hunting Bayou @ Loop 610 Eas
80,840,Hunting Bayou @ Lockwood Dri
81,910,Vince Bayou @ Fairmont Parkw
82,920,Vince Bayou @ West Ellaine D
83,940,Little Vince Bayou @ Jackson
84,1000,Houston Transtar
85,1020,NRG Park
86,1040,Spring Creek @ FM 2978
87,1050,Spring Creek @ I-45
88,1052,Mill Creek @ FM 149
89,1054,Mill Creek @ FM 1486
90,1055,Bear Branch @ Kuykendahl
91,1056,Mill Creek @ FM 1774
92,1060,Spring Creek @ Kuykendahl Ro
93,1070,Spring Creek @ SH 249
94,1072,Walnut Creek @ Nichols Sawmi
95,1074,Walnut Creek @ Joseph Road
96,1075,Tomball Repeater
97,1076,Birch Creek @ Riley Road
