CASE NUMBER,SR LOCATION,COUNTY,DISTRICT,NEIGHBORHOOD,TAX ID,TRASH QUAD,RECYCLE QUAD,TRASH DAY,HEAVY TRASH DAY,RECYCLE DAY,KEY MAP,MANAGEMENT DISTRICT,DEPARTMENT,DIVISION,SR TYPE,QUEUE,SLA,STATUS,SR CREATE DATE,DUE DATE,DATE CLOSED,OVERDUE,Title,x,y,LATITUDE,LONGITUDE,Channel Type
12417180-101003786797,"1104 NICHOLSON, HOUSTON TX 77008",Harris,C,GREATER HEIGHTS,1224090010011,NW,NE,THURSDAY,3rd Wednesday,THURSDAY-B,452Z,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-02 14:23:57,2020-01-06 14:23:57,2020-01-03 15:44:21,-2.94,Flooding,,,29.79076548,-95.40525622,WEB
12417313-101003789196,"5731 BENNING, HOUSTON TX 77096",HARRIS,K,WESTBURY,0914730000008,SW,SE,THURSDAY,2nd Thursday,THURSDAY-A,531W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-05 17:15:55,2020-01-09 17:15:55,2020-01-05 17:44:22,-3.98,Flooding - 381592,-95.48906000000,29.65894000000,29.65873993,-95.48901428,WAP
12417341-101003789316,"1202 DIEZ, HOUSTON TX 77023",Harris,I,GREATER EASTWOOD,0410070100012,,,,,,494X,East End MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-06 00:15:27,2020-01-10 00:15:27,2020-01-06 08:19:21,-3.66,Flooding - 380278,-95.33294000000,29.73057000000,29.72948041,-95.33285931,WAP
12417360-101003789385,"2304 MCALLISTER, HOUSTON TX 77092",Harris,A,SPRING BRANCH EAST,0641870000191,NW,NE,FRIDAY,4th Thursday,FRIDAY-A,451U,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-06 00:17:04,2020-01-10 00:17:04,2020-01-06 01:54:21,-3.93,Flooding - 380499,-95.46359000000,29.80840000000,29.80826966,-95.46322635,WAP
12417388-101003789547,"4235 WHEELER, HOUSTON TX 77004",Harris,D,MACGREGOR,0410070070055,SE,,TUESDAY,3rd Thursday,,533D,Greater Southeast MD,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-06 00:21:01,2020-01-10 00:21:01,2020-01-06 11:34:22,-3.53,Flooding - 380975,-95.34836000000,29.71823000000,29.71783092,-95.34766133,WAP
12417427-101003789737,"442 W LITTLE YORK, HOUSTON TX 77076",Harris,H,NORTHSIDE/NORTHLINE,0222430000048,NE,NW,MONDAY,3rd Tuesday,MONDAY-B,412V,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-06 01:31:48,2020-01-10 01:31:48,2020-01-06 04:14:21,-3.89,Flooding - 381643,-95.40592000000,29.87172000000,29.87115352,-95.4061409,WAP
12417453-101003790440,"7250 WYNNWOOD, HOUSTON TX 77008",Harris,C,LAZYBROOK / TIMBERGROVE,0983280000003,,,,,,452W,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-06 12:20:42,2020-01-10 12:20:42,2020-01-06 15:44:22,-3.86,Flooding,,,29.79366202,-95.44740657,WEB
12417588-101003812356,"8214 WHITECASTLE, HOUSTON TX 77088",HARRIS,B,ACRES HOME,1025580000377,NW,NW,TUESDAY,3rd Friday,TUESDAY-B,412Q,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-07 14:22:45,2020-01-11 14:22:45,2020-01-08 13:24:22,-3.04,Flooding-101003812356,3104421.07054000000,13884564.44200000000,29.87899702,-95.41506964,Voice In
12417955-101003817724,"3544 CLINE, HOUSTON TX 77020",HARRIS,B,GREATER FIFTH WARD,1255600010048,NE,NW,FRIDAY,1st Thursday,FRIDAY-B,494K,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-11 09:17:16,2020-01-15 09:17:16,2020-01-13 16:24:21,-1.70,Flooding - 382551,-95.33387000000,29.76634000000,29.76630454,-95.33395678,WAP
12417966-101003817845,"6122 DOLIVER, HOUSTON TX 77057",HARRIS,G,GREATER UPTOWN,0852920000597,,,,,,491N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-11 11:09:30,2020-01-15 11:09:30,2020-01-11 11:29:21,-3.99,Flooding,,,29.75194568,-95.49010329,WEB
12417971-101003817871,Intersection 15800 PATTERSON RD & 3000 N SH 6,Harris County,A,ADDICKS PARK TEN,,,,,,,448N,,PWE Public Works Engineering,Street and Drainage,Flooding,ROWM_StormSewer,4,Closed,2020-01-11 11:34:54,2020-01-15 11:34:54,2020-01-13 10:54:21,-2.03,Flooding-101003817871,3032127.35915000000,13858512.90257000000,29.8132857,-95.64545444,Voice In
